Quantum 1
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0, 0, 0, 0, 0, 0 
Router 1, 0, 0, 0, 0, 0 
Router 2, 0, 0, 0, 0, 0 
Router 3, 0, 0, 0, 0, 0 
Router 4, 0, 0, 0, 0, 0 
Router 5, 0, 0, 0, 0, 0 
Router 6, 0, 0, 0, 0, 0 
Router 7, 0, 0, 0, 0, 0 
Router 8, 0, 0, 0, 0, 0 
Quantum 2
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0, 8, 8, 0, 0, 0 
Router 1, 0, 8, 0, 0, 0 
Router 2, 0, 0, 0, 8, 0 
Router 3, 0, 0, 0, 0, 8 
Router 4, 0, 0, 0, 0, 0 
Router 5, 0, 0, 0, 8, 0 
Router 6, 0, 0, 0, 0, 8 
Router 7, 0, 0, 8, 0, 0 
Router 8, 8, 0, 8, 0, 0 
Quantum 3
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0, 17, 17, 0, 0, 0 
Router 1, 0, 17, 0, 0, 0 
Router 2, 0, 0, 0, 17, 0 
Router 3, 0, 0, 0, 0, 25 
Router 4, 0, 0, 0, 0, 0 
Router 5, 0, 0, 0, 17, 0 
Router 6, 0, 0, 0, 0, 25 
Router 7, 0, 0, 25, 0, 0 
Router 8, 17, 0, 25, 0, 0 
Quantum 4
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0, 25, 25, 0, 0, 0 
Router 1, 0, 25, 0, 0, 0 
Router 2, 0, 0, 0, 25, 0 
Router 3, 0, 0, 0, 0, 25 
Router 4, 0, 0, 0, 0, 0 
Router 5, 0, 0, 0, 25, 0 
Router 6, 0, 0, 0, 0, 25 
Router 7, 0, 0, 25, 0, 0 
Router 8, 25, 0, 25, 0, 0 
Quantum 5
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0, 25, 25, 0, 0, 0 
Router 1, 0, 25, 0, 0, 0 
Router 2, 0, 0, 0, 25, 0 
Router 3, 0, 0, 0, 0, 25 
Router 4, 0, 0, 0, 0, 0 
Router 5, 0, 0, 0, 25, 0 
Router 6, 0, 0, 0, 0, 25 
Router 7, 0, 0, 25, 0, 0 
Router 8, 25, 0, 25, 0, 0 
Quantum 6
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0, 25, 25, 0, 0, 0 
Router 1, 0, 25, 0, 0, 0 
Router 2, 0, 0, 0, 25, 0 
Router 3, 0, 0, 0, 0, 25 
Router 4, 0, 0, 0, 0, 0 
Router 5, 0, 0, 0, 25, 0 
Router 6, 0, 0, 0, 0, 25 
Router 7, 0, 0, 25, 0, 0 
Router 8, 25, 0, 25, 0, 0 
Quantum 7
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0, 25, 25, 0, 0, 0 
Router 1, 0, 25, 0, 0, 0 
Router 2, 0, 0, 0, 25, 0 
Router 3, 0, 0, 0, 0, 25 
Router 4, 0, 0, 0, 0, 0 
Router 5, 0, 0, 0, 25, 0 
Router 6, 0, 0, 0, 0, 25 
Router 7, 0, 0, 25, 0, 0 
Router 8, 25, 0, 25, 0, 0 
Quantum 8
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0, 25, 25, 0, 0, 0 
Router 1, 0, 25, 0, 0, 0 
Router 2, 0, 0, 0, 25, 0 
Router 3, 0, 0, 0, 0, 25 
Router 4, 0, 0, 0, 0, 0 
Router 5, 0, 0, 0, 25, 0 
Router 6, 0, 0, 0, 0, 25 
Router 7, 0, 0, 25, 0, 0 
Router 8, 25, 0, 25, 0, 0 
Quantum 9
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0, 25, 25, 0, 0, 0 
Router 1, 0, 25, 0, 0, 0 
Router 2, 0, 0, 0, 25, 0 
Router 3, 0, 0, 0, 0, 25 
Router 4, 0, 0, 0, 0, 0 
