Router 59 ; 143 ; 0 ; 0; 0; 0 
Router 60 ; 143 ; 0 ; 0; 0; 0 
Router 61 ; 143 ; 0 ; 0; 0; 0 
Router 62 ; 143 ; 0 ; 0; 0; 0 
Router 63 ; 0 ; 0 ; 0; 0; 0 
Quantum 8
Routers ; LOCAL ; EAST ; WEST ; NORTH ; SOUTH 
Router 0 ; 0 ; 0 ; 0; 1001; 0 
Router 1 ; 0 ; 0 ; 1001; 0; 0 
Router 2 ; 0 ; 0 ; 858; 0; 0 
Router 3 ; 0 ; 0 ; 715; 0; 0 
Router 4 ; 0 ; 0 ; 572; 0; 0 
Router 5 ; 0 ; 0 ; 429; 0; 0 
Router 6 ; 0 ; 0 ; 286; 0; 0 
Router 7 ; 0 ; 0 ; 143; 0; 0 
Router 8 ; 143 ; 0 ; 0; 858; 0 
Router 9 ; 0 ; 143 ; 0; 858; 0 
Router 10 ; 0 ; 143 ; 858; 0; 0 
Router 11 ; 0 ; 143 ; 715; 0; 0 
Router 12 ; 0 ; 143 ; 572; 0; 0 
Router 13 ; 0 ; 143 ; 429; 0; 0 
Router 14 ; 0 ; 0 ; 286; 143; 0 
Router 15 ; 0 ; 0 ; 143; 0; 0 
Router 16 ; 143 ; 0 ; 0; 715; 0 
Router 17 ; 143 ; 0 ; 0; 715; 0 
Router 18 ; 0 ; 143 ; 0; 715; 0 
Router 19 ; 0 ; 143 ; 715; 0; 0 
Router 20 ; 0 ; 143 ; 572; 0; 0 
Router 21 ; 0 ; 0 ; 429; 143; 0 
Router 22 ; 0 ; 0 ; 286; 143; 0 
Router 23 ; 0 ; 0 ; 143; 0; 0 
Router 24 ; 143 ; 0 ; 0; 572; 0 
Router 25 ; 143 ; 0 ; 0; 572; 0 
Router 26 ; 143 ; 0 ; 0; 572; 0 
Router 27 ; 0 ; 143 ; 0; 572; 0 
Router 28 ; 0 ; 0 ; 572; 143; 0 
Router 29 ; 0 ; 0 ; 429; 143; 0 
Router 30 ; 0 ; 0 ; 286; 143; 0 
Router 31 ; 0 ; 0 ; 143; 0; 0 
Router 32 ; 143 ; 0 ; 0; 429; 0 
Router 33 ; 143 ; 0 ; 0; 429; 0 
Router 34 ; 143 ; 0 ; 0; 429; 0 
Router 35 ; 143 ; 0 ; 0; 429; 0 
Router 36 ; 143 ; 0 ; 0; 429; 0 
Router 37 ; 0 ; 0 ; 429; 143; 0 
Router 38 ; 0 ; 0 ; 286; 143; 0 
Router 39 ; 0 ; 0 ; 143; 0; 0 
Router 40 ; 143 ; 0 ; 0; 286; 0 
Router 41 ; 143 ; 0 ; 0; 286; 0 
Router 42 ; 143 ; 0 ; 0; 286; 0 
Router 43 ; 143 ; 0 ; 0; 286; 0 
Router 44 ; 143 ; 0 ; 0; 286; 0 
Router 45 ; 143 ; 0 ; 0; 286; 0 
Router 46 ; 0 ; 0 ; 286; 143; 0 
Router 47 ; 0 ; 0 ; 143; 0; 0 
Router 48 ; 143 ; 0 ; 0; 143; 0 
Router 49 ; 143 ; 0 ; 0; 143; 0 
Router 50 ; 143 ; 0 ; 0; 143; 0 
Router 51 ; 143 ; 0 ; 0; 143; 0 
Router 52 ; 143 ; 0 ; 0; 143; 0 
Router 53 ; 143 ; 0 ; 0; 143; 0 
Router 54 ; 143 ; 0 ; 0; 143; 0 
Router 55 ; 0 ; 0 ; 143; 0; 0 
Router 56 ; 143 ; 0 ; 0; 0; 0 
Router 57 ; 143 ; 0 ; 0; 0; 0 
Router 58 ; 143 ; 0 ; 0; 0; 0 
Router 59 ; 143 ; 0 ; 0; 0; 0 
Router 60 ; 143 ; 0 ; 0; 0; 0 
Router 61 ; 143 ; 0 ; 0; 0; 0 
Router 62 ; 143 ; 0 ; 0; 0; 0 
Router 63 ; 0 ; 0 ; 0; 0; 0 
Quantum 9
Routers ; LOCAL ; EAST ; WEST ; NORTH ; SOUTH 
Router 0 ; 0 ; 0 ; 0; 1001; 0 
Router 1 ; 0 ; 0 ; 1001; 0; 0 
Router 2 ; 0 ; 0 ; 858; 0; 0 
Router 3 ; 0 ; 0 ; 715; 0; 0 
Router 4 ; 0 ; 0 ; 572; 0; 0 
Router 5 ; 0 ; 0 ; 429; 0; 0 
Router 6 ; 0 ; 0 ; 286; 0; 0 
Router 7 ; 0 ; 0 ; 143; 0; 0 
Router 8 ; 143 ; 0 ; 0; 858; 0 
Router 9 ; 0 ; 143 ; 0; 858; 0 
Router 10 ; 0 ; 143 ; 858; 0; 0 
Router 11 ; 0 ; 143 ; 715; 0; 0 
Router 12 ; 0 ; 143 ; 572; 0; 0 
Router 13 ; 0 ; 143 ; 429; 0; 0 
Router 14 ; 0 ; 0 ; 286; 143; 0 
Router 15 ; 0 ; 0 ; 143; 0; 0 
Router 16 ; 143 ; 0 ; 0; 715; 0 
Router 17 ; 143 ; 0 ; 0; 715; 0 
Router 18 ; 0 ; 143 ; 0; 715; 0 
Router 19 ; 0 ; 143 ; 715; 0; 0 
Router 20 ; 0 ; 143 ; 572; 0; 0 
Router 21 ; 0 ; 0 ; 429; 143; 0 
Router 22 ; 0 ; 0 ; 286; 143; 0 
Router 23 ; 0 ; 0 ; 143; 0; 0 
Router 24 ; 143 ; 0 ; 0; 572; 0 
Router 25 ; 143 ; 0 ; 0; 572; 0 
Router 26 ; 143 ; 0 ; 0; 572; 0 
Router 27 ; 0 ; 143 ; 0; 572; 0 
Router 28 ; 0 ; 0 ; 572; 143; 0 
Router 29 ; 0 ; 0 ; 429; 143; 0 
Router 30 ; 0 ; 0 ; 286; 143; 0 
Router 31 ; 0 ; 0 ; 143; 0; 0 
Router 32 ; 143 ; 0 ; 0; 429; 0 
Router 33 ; 143 ; 0 ; 0; 429; 0 
Router 34 ; 143 ; 0 ; 0; 429; 0 
Router 35 ; 143 ; 0 ; 0; 429; 0 
Router 36 ; 143 ; 0 ; 0; 429; 0 
Router 37 ; 0 ; 0 ; 429; 143; 0 
Router 38 ; 0 ; 0 ; 286; 143; 0 
Router 39 ; 0 ; 0 ; 143; 0; 0 
Router 40 ; 143 ; 0 ; 0; 286; 0 
Router 41 ; 143 ; 0 ; 0; 286; 0 
Router 42 ; 143 ; 0 ; 0; 286; 0 
Router 43 ; 143 ; 0 ; 0; 286; 0 
Router 44 ; 143 ; 0 ; 0; 286; 0 
Router 45 ; 143 ; 0 ; 0; 286; 0 
Router 46 ; 0 ; 0 ; 286; 143; 0 
Router 47 ; 0 ; 0 ; 143; 0; 0 
Router 48 ; 143 ; 0 ; 0; 143; 0 
Router 49 ; 143 ; 0 ; 0; 143; 0 
Router 50 ; 143 ; 0 ; 0; 143; 0 
Router 51 ; 143 ; 0 ; 0; 143; 0 
Router 52 ; 143 ; 0 ; 0; 143; 0 
Router 53 ; 143 ; 0 ; 0; 143; 0 
Router 54 ; 143 ; 0 ; 0; 143; 0 
Router 55 ; 0 ; 0 ; 143; 0; 0 
Router 56 ; 143 ; 0 ; 0; 0; 0 
Router 57 ; 143 ; 0 ; 0; 0; 0 
Router 58 ; 143 ; 0 ; 0; 0; 0 
Router 59 ; 143 ; 0 ; 0; 0; 0 
Router 60 ; 143 ; 0 ; 0; 0; 0 
Router 61 ; 143 ; 0 ; 0; 0; 0 
Router 62 ; 143 ; 0 ; 0; 0; 0 
Router 63 ; 0 ; 0 ; 0; 0; 0 
Quantum 10
Routers ; LOCAL ; EAST ; WEST ; NORTH ; SOUTH 
Router 0 ; 0 ; 0 ; 0; 1001; 0 
Router 1 ; 0 ; 0 ; 1001; 0; 0 
Router 2 ; 0 ; 0 ; 858; 0; 0 
Router 3 ; 0 ; 0 ; 715; 0; 0 
Router 4 ; 0 ; 0 ; 572; 0; 0 
Router 5 ; 0 ; 0 ; 429; 0; 0 
Router 6 ; 0 ; 0 ; 286; 0; 0 
Router 7 ; 0 ; 0 ; 143; 0; 0 
Router 8 ; 143 ; 0 ; 0; 858; 0 
Router 9 ; 0 ; 143 ; 0; 858; 0 
Router 10 ; 0 ; 143 ; 858; 0; 0 
Router 11 ; 0 ; 143 ; 715; 0; 0 
Router 12 ; 0 ; 143 ; 572; 0; 0 
Router 13 ; 0 ; 143 ; 429; 0; 0 
Router 14 ; 0 ; 0 ; 286; 143; 0 
Router 15 ; 0 ; 0 ; 143; 0; 0 
Router 16 ; 143 ; 0 ; 0; 715; 0 
Router 17 ; 143 ; 0 ; 0; 715; 0 
Router 18 ; 0 ; 143 ; 0; 715; 0 
Router 19 ; 0 ; 143 ; 715; 0; 0 
Router 20 ; 0 ; 143 ; 572; 0; 0 
Router 21 ; 0 ; 0 ; 429; 143; 0 
Router 22 ; 0 ; 0 ; 286; 143; 0 
Router 23 ; 0 ; 0 ; 143; 0; 0 
Router 24 ; 143 ; 0 ; 0; 572; 0 
Router 25 ; 143 ; 0 ; 0; 572; 0 
Router 26 ; 143 ; 0 ; 0; 572; 0 
Router 27 ; 0 ; 143 ; 0; 572; 0 
Router 28 ; 0 ; 0 ; 572; 143; 0 
Router 29 ; 0 ; 0 ; 429; 143; 0 
Router 30 ; 0 ; 0 ; 286; 143; 0 
Router 31 ; 0 ; 0 ; 143; 0; 0 
Router 32 ; 143 ; 0 ; 0; 429; 0 
Router 33 ; 143 ; 0 ; 0; 429; 0 
Router 34 ; 143 ; 0 ; 0; 429; 0 
Router 35 ; 143 ; 0 ; 0; 429; 0 
Router 36 ; 143 ; 0 ; 0; 429; 0 
Router 37 ; 0 ; 0 ; 429; 143; 0 
Router 38 ; 0 ; 0 ; 286; 143; 0 
Router 39 ; 0 ; 0 ; 143; 0; 0 
Router 40 ; 143 ; 0 ; 0; 286; 0 
Router 41 ; 143 ; 0 ; 0; 286; 0 
Router 42 ; 143 ; 0 ; 0; 286; 0 
Router 43 ; 143 ; 0 ; 0; 286; 0 
Router 44 ; 143 ; 0 ; 0; 286; 0 
Router 45 ; 143 ; 0 ; 0; 286; 0 
Router 46 ; 0 ; 0 ; 286; 143; 0 
Router 47 ; 0 ; 0 ; 143; 0; 0 
Router 48 ; 143 ; 0 ; 0; 143; 0 
Router 49 ; 143 ; 0 ; 0; 143; 0 
Router 50 ; 143 ; 0 ; 0; 143; 0 
Router 51 ; 143 ; 0 ; 0; 143; 0 
Router 52 ; 143 ; 0 ; 0; 143; 0 
Router 53 ; 143 ; 0 ; 0; 143; 0 
Router 54 ; 143 ; 0 ; 0; 143; 0 
Router 55 ; 0 ; 0 ; 143; 0; 0 
Router 56 ; 143 ; 0 ; 0; 0; 0 
Router 57 ; 143 ; 0 ; 0; 0; 0 
Router 58 ; 143 ; 0 ; 0; 0; 0 
Router 59 ; 143 ; 0 ; 0; 0; 0 
Router 60 ; 143 ; 0 ; 0; 0; 0 
Router 61 ; 143 ; 0 ; 0; 0; 0 
Router 62 ; 143 ; 0 ; 0; 0; 0 
Router 63 ; 0 ; 0 ; 0; 0; 0 
Quantum 11
Routers ; LOCAL ; EAST ; WEST ; NORTH ; SOUTH 
Router 0 ; 0 ; 0 ; 0; 1001; 0 
Router 1 ; 0 ; 0 ; 1001; 0; 0 
Router 2 ; 0 ; 0 ; 858; 0; 0 
Router 3 ; 0 ; 0 ; 715; 0; 0 
Router 4 ; 0 ; 0 ; 572; 0; 0 
Router 5 ; 0 ; 0 ; 429; 0; 0 
Router 6 ; 0 ; 0 ; 286; 0; 0 
Router 7 ; 0 ; 0 ; 143; 0; 0 
Router 8 ; 143 ; 0 ; 0; 858; 0 
Router 9 ; 0 ; 143 ; 0; 858; 0 
Router 10 ; 0 ; 143 ; 858; 0; 0 
Router 11 ; 0 ; 143 ; 715; 0; 0 
Router 12 ; 0 ; 143 ; 572; 0; 0 
Router 13 ; 0 ; 143 ; 429; 0; 0 
Router 14 ; 0 ; 0 ; 286; 143; 0 
Router 15 ; 0 ; 0 ; 143; 0; 0 
Router 16 ; 143 ; 0 ; 0; 715; 0 
Router 17 ; 143 ; 0 ; 0; 715; 0 
Router 18 ; 0 ; 143 ; 0; 715; 0 
Router 19 ; 0 ; 143 ; 715; 0; 0 
Router 20 ; 0 ; 143 ; 572; 0; 0 
Router 21 ; 0 ; 0 ; 429; 143; 0 
Router 22 ; 0 ; 0 ; 286; 143; 0 
Router 23 ; 0 ; 0 ; 143; 0; 0 
Router 24 ; 143 ; 0 ; 0; 572; 0 
Router 25 ; 143 ; 0 ; 0; 572; 0 
Router 26 ; 143 ; 0 ; 0; 572; 0 
Router 27 ; 0 ; 143 ; 0; 572; 0 
Router 28 ; 0 ; 0 ; 572; 143; 0 
Router 29 ; 0 ; 0 ; 429; 143; 0 
Router 30 ; 0 ; 0 ; 286; 143; 0 
Router 31 ; 0 ; 0 ; 143; 0; 0 
Router 32 ; 143 ; 0 ; 0; 429; 0 
Router 33 ; 143 ; 0 ; 0; 429; 0 
Router 34 ; 143 ; 0 ; 0; 429; 0 
Router 35 ; 143 ; 0 ; 0; 429; 0 
Router 36 ; 143 ; 0 ; 0; 429; 0 
Router 37 ; 0 ; 0 ; 429; 143; 0 
Router 38 ; 0 ; 0 ; 286; 143; 0 
Router 39 ; 0 ; 0 ; 143; 0; 0 
Router 40 ; 143 ; 0 ; 0; 286; 0 
Router 41 ; 143 ; 0 ; 0; 286; 0 
Router 42 ; 143 ; 0 ; 0; 286; 0 
Router 43 ; 143 ; 0 ; 0; 286; 0 
Router 44 ; 143 ; 0 ; 0; 286; 0 
Router 45 ; 143 ; 0 ; 0; 286; 0 
Router 46 ; 0 ; 0 ; 286; 143; 0 
Router 47 ; 0 ; 0 ; 143; 0; 0 
Router 48 ; 143 ; 0 ; 0; 143; 0 
Router 49 ; 143 ; 0 ; 0; 143; 0 
Router 50 ; 143 ; 0 ; 0; 143; 0 
Router 51 ; 143 ; 0 ; 0; 143; 0 
Router 52 ; 143 ; 0 ; 0; 143; 0 
Router 53 ; 143 ; 0 ; 0; 143; 0 
Router 54 ; 143 ; 0 ; 0; 143; 0 
Router 55 ; 0 ; 0 ; 143; 0; 0 
Router 56 ; 143 ; 0 ; 0; 0; 0 
Router 57 ; 143 ; 0 ; 0; 0; 0 
Router 58 ; 143 ; 0 ; 0; 0; 0 
Router 59 ; 143 ; 0 ; 0; 0; 0 
Router 60 ; 143 ; 0 ; 0; 0; 0 
Router 61 ; 143 ; 0 ; 0; 0; 0 
Router 62 ; 143 ; 0 ; 0; 0; 0 
Router 63 ; 0 ; 0 ; 0; 0; 0 
Quantum 12
Routers ; LOCAL ; EAST ; WEST ; NORTH ; SOUTH 
Router 0 ; 0 ; 0 ; 0; 1001; 0 
Router 1 ; 0 ; 0 ; 1001; 0; 0 
Router 2 ; 0 ; 0 ; 858; 0; 0 
Router 3 ; 0 ; 0 ; 715; 0; 0 
Router 4 ; 0 ; 0 ; 572; 0; 0 
Router 5 ; 0 ; 0 ; 429; 0; 0 
Router 6 ; 0 ; 0 ; 286; 0; 0 
Router 7 ; 0 ; 0 ; 143; 0; 0 
Router 8 ; 143 ; 0 ; 0; 858; 0 
Router 9 ; 0 ; 143 ; 0; 858; 0 
Router 10 ; 0 ; 143 ; 858; 0; 0 
Router 11 ; 0 ; 143 ; 715; 0; 0 
Router 12 ; 0 ; 143 ; 572; 0; 0 
Router 13 ; 0 ; 143 ; 429; 0; 0 
Router 14 ; 0 ; 0 ; 286; 143; 0 
Router 15 ; 0 ; 0 ; 143; 0; 0 
Router 16 ; 143 ; 0 ; 0; 715; 0 
Router 17 ; 143 ; 0 ; 0; 715; 0 
Router 18 ; 0 ; 143 ; 0; 715; 0 
Router 19 ; 0 ; 143 ; 715; 0; 0 
Router 20 ; 0 ; 143 ; 572; 0; 0 
Router 21 ; 0 ; 0 ; 429; 143; 0 
Router 22 ; 0 ; 0 ; 286; 143; 0 
Router 23 ; 0 ; 0 ; 143; 0; 0 
Router 24 ; 143 ; 0 ; 0; 572; 0 
Router 25 ; 143 ; 0 ; 0; 572; 0 
Router 26 ; 143 ; 0 ; 0; 572; 0 
Router 27 ; 0 ; 143 ; 0; 572; 0 
Router 28 ; 0 ; 0 ; 572; 143; 0 
Router 29 ; 0 ; 0 ; 429; 143; 0 
Router 30 ; 0 ; 0 ; 286; 143; 0 
Router 31 ; 0 ; 0 ; 143; 0; 0 
Router 32 ; 143 ; 0 ; 0; 429; 0 
Router 33 ; 143 ; 0 ; 0; 429; 0 
Router 34 ; 143 ; 0 ; 0; 429; 0 
Router 35 ; 143 ; 0 ; 0; 429; 0 
Router 36 ; 143 ; 0 ; 0; 429; 0 
Router 37 ; 0 ; 0 ; 429; 143; 0 
Router 38 ; 0 ; 0 ; 286; 143; 0 
Router 39 ; 0 ; 0 ; 143; 0; 0 
Router 40 ; 143 ; 0 ; 0; 286; 0 
Router 41 ; 143 ; 0 ; 0; 286; 0 
Router 42 ; 143 ; 0 ; 0; 286; 0 
Router 43 ; 143 ; 0 ; 0; 286; 0 
Router 44 ; 143 ; 0 ; 0; 286; 0 
Router 45 ; 143 ; 0 ; 0; 286; 0 
Router 46 ; 0 ; 0 ; 286; 143; 0 
Router 47 ; 0 ; 0 ; 143; 0; 0 
Router 48 ; 143 ; 0 ; 0; 143; 0 
Router 49 ; 143 ; 0 ; 0; 143; 0 
Router 50 ; 143 ; 0 ; 0; 143; 0 
Router 51 ; 143 ; 0 ; 0; 143; 0 
Router 52 ; 143 ; 0 ; 0; 143; 0 
Router 53 ; 143 ; 0 ; 0; 143; 0 
Router 54 ; 143 ; 0 ; 0; 143; 0 
Router 55 ; 0 ; 0 ; 143; 0; 0 
Router 56 ; 143 ; 0 ; 0; 0; 0 
Router 57 ; 143 ; 0 ; 0; 0; 0 
Router 58 ; 143 ; 0 ; 0; 0; 0 
Router 59 ; 143 ; 0 ; 0; 0; 0 
Router 60 ; 143 ; 0 ; 0; 0; 0 
Router 61 ; 143 ; 0 ; 0; 0; 0 
Router 62 ; 143 ; 0 ; 0; 0; 0 
Router 63 ; 0 ; 0 ; 0; 0; 0 
Quantum 13
Routers ; LOCAL ; EAST ; WEST ; NORTH ; SOUTH 
Router 0 ; 0 ; 22 ; 0; 0; 0 
Router 1 ; 6 ; 0 ; 0; 0; 0 
Router 2 ; 6 ; 0 ; 0; 0; 0 
Router 3 ; 0 ; 0 ; 0; 0; 0 
Router 4 ; 0 ; 0 ; 0; 0; 0 
Router 5 ; 0 ; 0 ; 0; 0; 0 
Router 6 ; 0 ; 0 ; 0; 0; 0 
Router 7 ; 0 ; 0 ; 0; 0; 0 
Router 8 ; 0 ; 54 ; 0; 0; 38 
Router 9 ; 0 ; 38 ; 0; 0; 0 
Router 10 ; 6 ; 0 ; 0; 0; 22 
Router 11 ; 0 ; 0 ; 0; 0; 0 
Router 12 ; 0 ; 0 ; 0; 0; 0 
Router 13 ; 0 ; 0 ; 0; 0; 0 
Router 14 ; 0 ; 0 ; 0; 0; 0 
Router 15 ; 0 ; 0 ; 0; 0; 0 
Router 16 ; 0 ; 54 ; 0; 0; 70 
Router 17 ; 0 ; 38 ; 70; 0; 0 
Router 18 ; 0 ; 0 ; 0; 0; 22 
Router 19 ; 6 ; 0 ; 0; 0; 0 
Router 20 ; 0 ; 0 ; 0; 0; 0 
Router 21 ; 0 ; 0 ; 0; 0; 0 
Router 22 ; 0 ; 0 ; 0; 0; 0 
Router 23 ; 0 ; 0 ; 0; 0; 0 
Router 24 ; 0 ; 16 ; 0; 0; 16 
Router 25 ; 0 ; 54 ; 32; 0; 0 
Router 26 ; 0 ; 38 ; 70; 0; 0 
Router 27 ; 6 ; 0 ; 0; 0; 22 
Router 28 ; 6 ; 0 ; 0; 0; 0 
Router 29 ; 0 ; 0 ; 0; 0; 0 
Router 30 ; 0 ; 0 ; 0; 0; 0 
Router 31 ; 0 ; 0 ; 0; 0; 0 
Router 32 ; 0 ; 16 ; 0; 0; 16 
Router 33 ; 0 ; 16 ; 32; 0; 0 
Router 34 ; 0 ; 54 ; 32; 0; 0 
Router 35 ; 0 ; 38 ; 70; 0; 22 
Router 36 ; 0 ; 0 ; 38; 0; 22 
Router 37 ; 6 ; 0 ; 0; 0; 0 
Router 38 ; 0 ; 0 ; 0; 0; 0 
Router 39 ; 0 ; 0 ; 0; 0; 0 
Router 40 ; 0 ; 16 ; 0; 0; 16 
Router 41 ; 0 ; 16 ; 32; 0; 0 
Router 42 ; 0 ; 16 ; 32; 0; 0 
Router 43 ; 0 ; 54 ; 32; 0; 0 
Router 44 ; 0 ; 38 ; 70; 0; 0 
Router 45 ; 0 ; 0 ; 16; 0; 22 
Router 46 ; 6 ; 0 ; 0; 0; 0 
Router 47 ; 0 ; 0 ; 0; 0; 0 
Router 48 ; 0 ; 16 ; 0; 0; 16 
Router 49 ; 0 ; 16 ; 32; 0; 0 
Router 50 ; 0 ; 16 ; 32; 0; 0 
Router 51 ; 0 ; 16 ; 32; 0; 0 
Router 52 ; 0 ; 54 ; 32; 0; 0 
Router 53 ; 0 ; 38 ; 70; 0; 0 
Router 54 ; 0 ; 0 ; 16; 0; 22 
Router 55 ; 5 ; 0 ; 0; 0; 0 
Router 56 ; 0 ; 5 ; 0; 0; 5 
Router 57 ; 0 ; 5 ; 5; 0; 0 
Router 58 ; 0 ; 5 ; 5; 0; 0 
Router 59 ; 0 ; 5 ; 5; 0; 0 
Router 60 ; 0 ; 5 ; 5; 0; 0 
Router 61 ; 0 ; 5 ; 5; 0; 0 
Router 62 ; 0 ; 5 ; 5; 0; 0 
Router 63 ; 0 ; 0 ; 0; 0; 5 
Quantum 14
Routers ; LOCAL ; EAST ; WEST ; NORTH ; SOUTH 
Router 0 ; 0 ; 121 ; 0; 0; 0 
Router 1 ; 137 ; 0 ; 0; 0; 0 
Router 2 ; 137 ; 0 ; 0; 0; 0 
Router 3 ; 1 ; 0 ; 0; 0; 0 
Router 4 ; 0 ; 0 ; 0; 0; 0 
Router 5 ; 0 ; 0 ; 0; 0; 0 
Router 6 ; 0 ; 0 ; 0; 0; 0 
Router 7 ; 0 ; 0 ; 0; 0; 0 
Router 8 ; 0 ; 89 ; 0; 0; 105 
Router 9 ; 0 ; 105 ; 0; 0; 0 
Router 10 ; 137 ; 0 ; 0; 0; 121 
Router 11 ; 0 ; 0 ; 0; 0; 17 
Router 12 ; 0 ; 0 ; 0; 0; 0 
Router 13 ; 0 ; 0 ; 0; 0; 0 
Router 14 ; 0 ; 0 ; 0; 0; 0 
Router 15 ; 0 ; 0 ; 0; 0; 0 
Router 16 ; 0 ; 170 ; 0; 0; 73 
Router 17 ; 0 ; 170 ; 73; 0; 0 
Router 18 ; 0 ; 49 ; 0; 0; 121 
Router 19 ; 137 ; 0 ; 0; 0; 33 
Router 20 ; 1 ; 0 ; 0; 0; 0 
Router 21 ; 0 ; 0 ; 0; 0; 0 
Router 22 ; 0 ; 0 ; 0; 0; 0 
Router 23 ; 0 ; 0 ; 0; 0; 0 
Router 24 ; 0 ; 48 ; 0; 0; 81 
Router 25 ; 0 ; 137 ; 48; 0; 0 
Router 26 ; 0 ; 137 ; 73; 0; 0 
Router 27 ; 137 ; 0 ; 0; 0; 137 
Router 28 ; 137 ; 0 ; 0; 0; 17 
Router 29 ; 1 ; 0 ; 0; 0; 0 
Router 30 ; 0 ; 0 ; 0; 0; 0 
Router 31 ; 0 ; 0 ; 0; 0; 0 
Router 32 ; 0 ; 0 ; 0; 0; 0 
Router 33 ; 0 ; 65 ; 0; 0; 0 
Router 34 ; 0 ; 154 ; 65; 0; 0 
Router 35 ; 0 ; 154 ; 73; 0; 121 
Router 36 ; 0 ; 0 ; 105; 0; 154 
Router 37 ; 137 ; 0 ; 0; 0; 17 
Router 38 ; 1 ; 0 ; 0; 0; 0 
Router 39 ; 0 ; 0 ; 0; 0; 0 
Router 40 ; 0 ; 0 ; 0; 0; 0 
Router 41 ; 0 ; 0 ; 0; 0; 0 
Router 42 ; 0 ; 65 ; 0; 0; 0 
Router 43 ; 0 ; 154 ; 65; 0; 0 
Router 44 ; 0 ; 154 ; 89; 0; 0 
Router 45 ; 0 ; 0 ; 16; 0; 154 
Router 46 ; 137 ; 0 ; 0; 0; 17 
Router 47 ; 1 ; 0 ; 0; 0; 0 
Router 48 ; 0 ; 0 ; 0; 0; 0 
Router 49 ; 0 ; 0 ; 0; 0; 0 
Router 50 ; 0 ; 0 ; 0; 0; 0 
Router 51 ; 0 ; 65 ; 0; 0; 0 
Router 52 ; 0 ; 154 ; 65; 0; 0 
Router 53 ; 0 ; 154 ; 89; 0; 0 
Router 54 ; 0 ; 0 ; 16; 0; 154 
Router 55 ; 138 ; 0 ; 0; 0; 17 
Router 56 ; 0 ; 11 ; 0; 0; 11 
Router 57 ; 0 ; 11 ; 27; 0; 0 
Router 58 ; 0 ; 11 ; 27; 0; 0 
Router 59 ; 0 ; 11 ; 27; 0; 0 
Router 60 ; 0 ; 76 ; 27; 0; 0 
Router 61 ; 0 ; 203 ; 92; 0; 0 
Router 62 ; 0 ; 187 ; 138; 0; 0 
Router 63 ; 0 ; 0 ; 0; 0; 171 
Quantum 15
Routers ; LOCAL ; EAST ; WEST ; NORTH ; SOUTH 
Router 0 ; 0 ; 0 ; 0; 0; 0 
Router 1 ; 143 ; 0 ; 0; 0; 0 
Router 2 ; 1 ; 0 ; 0; 0; 0 
Router 3 ; 142 ; 0 ; 0; 0; 0 
Router 4 ; 1 ; 0 ; 0; 0; 0 
Router 5 ; 0 ; 0 ; 0; 0; 0 
Router 6 ; 0 ; 0 ; 0; 0; 0 
Router 7 ; 0 ; 0 ; 0; 0; 0 
Router 8 ; 0 ; 143 ; 0; 0; 0 
Router 9 ; 0 ; 0 ; 0; 0; 143 
Router 10 ; 143 ; 0 ; 0; 0; 17 
Router 11 ; 143 ; 0 ; 0; 0; 126 
Router 12 ; 0 ; 0 ; 0; 0; 17 
Router 13 ; 0 ; 0 ; 0; 0; 0 
Router 14 ; 0 ; 0 ; 0; 0; 0 
Router 15 ; 0 ; 0 ; 0; 0; 0 
Router 16 ; 0 ; 127 ; 0; 0; 0 
Router 17 ; 0 ; 270 ; 0; 0; 0 
Router 18 ; 1 ; 94 ; 0; 0; 176 
Router 19 ; 143 ; 0 ; 0; 0; 253 
Router 20 ; 142 ; 0 ; 0; 0; 33 
Router 21 ; 1 ; 0 ; 0; 0; 0 
Router 22 ; 0 ; 0 ; 0; 0; 0 
Router 23 ; 0 ; 0 ; 0; 0; 0 
Router 24 ; 0 ; 192 ; 0; 0; 46 
Router 25 ; 0 ; 192 ; 63; 0; 0 
Router 26 ; 0 ; 335 ; 0; 0; 17 
Router 27 ; 143 ; 65 ; 0; 0; 270 
Router 28 ; 143 ; 0 ; 0; 0; 175 
Router 29 ; 142 ; 0 ; 0; 0; 17 
Router 30 ; 1 ; 0 ; 0; 0; 0 
Router 31 ; 0 ; 0 ; 0; 0; 0 
Router 32 ; 0 ; 64 ; 0; 0; 113 
Router 33 ; 0 ; 126 ; 64; 0; 0 
Router 34 ; 0 ; 126 ; 46; 0; 33 
Router 35 ; 0 ; 269 ; 0; 0; 143 
Router 36 ; 0 ; 0 ; 143; 0; 269 
Router 37 ; 143 ; 0 ; 0; 0; 159 
Router 38 ; 142 ; 0 ; 0; 0; 17 
Router 39 ; 1 ; 0 ; 0; 0; 0 
Router 40 ; 0 ; 0 ; 0; 0; 0 
Router 41 ; 0 ; 97 ; 0; 0; 0 
Router 42 ; 0 ; 159 ; 97; 0; 49 
Router 43 ; 0 ; 159 ; 111; 0; 0 
Router 44 ; 0 ; 302 ; 65; 0; 0 
Router 45 ; 0 ; 0 ; 65; 0; 302 
Router 46 ; 143 ; 0 ; 0; 0; 159 
Router 47 ; 142 ; 0 ; 0; 0; 17 
Router 48 ; 0 ; 0 ; 0; 0; 0 
Router 49 ; 0 ; 0 ; 0; 0; 0 
Router 50 ; 0 ; 97 ; 0; 0; 0 
Router 51 ; 0 ; 159 ; 97; 0; 0 
